Time[s],CH1[C],CH2[C],CH3[C],CH4[C],CH5[C],CH6[C],CH7[C],CH8[C]
4570,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4580,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4590,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4600,16.1,17.5,19,20.4,21.9,23.3,24.8,26.2
4610,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4620,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4630,16,17.5,18.9,20.4,21.9,23.3,24.8,26.2
4640,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4650,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4660,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4670,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4680,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4690,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4700,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4710,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4720,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4730,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4740,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4750,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4760,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4770,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4780,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4790,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4800,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4810,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4820,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4830,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4840,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4850,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4860,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4870,16.1,17.5,19,20.4,21.9,23.3,24.8,26.2
4880,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4890,16,17.5,19,20.4,21.9,23.3,24.8,26.3
4900,16.1,17.5,19,20.4,21.9,23.3,24.8,26.2
4910,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4920,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4930,16,17.5,19,20.4,21.9,23.3,24.8,26.2
4940,16.1,17.5,19,20.4,21.9,23.3,24.8,26.2
